dong_id,p_i,c_i,K_i,x_obs_i,B_i
11190550,1645.1238545454546,2695.3125,4,2.797712871428572,0.15625
11190560,1530.5241206896553,2616.822429906542,4,2.9503153916883127,0.09345794392523364
11190610,1632.855260869565,2599.009900990099,3,2.339905310649351,0.07920792079207921
11190620,1767.7215,2549.0196078431372,2,1.2208201620779227,0.0392156862745098
11190630,2006.14425,3020.833333333333,1,0.4069400540259741,0.4166666666666667
11190650,1647.0990000000002,2901.7857142857147,2,0.9156151215584418,0.32142857142857145
11190660,1385.4885,2500.0,1,0.10173501350649353,0.0
11190670,1847.346,2777.777777777778,1,0.25433753376623386,0.2222222222222222
11190680,1733.4069,2608.695652173913,1,0.5086750675324677,0.08695652173913043
11190690,1770.9300000000003,2901.7857142857147,2,0.9156151215584418,0.32142857142857145
