scenario_day,dong_id,H_is,departures_is,avg_distance_km_i,arrivals_is
2025-10-01,11250540,11.0,11.0,1.2762481818181817,13.0
2025-10-01,11250550,17.0,17.0,1.2350935294117649,15.0
2025-10-01,11250560,32.0,32.0,1.4406146875,19.0
2025-10-01,11250580,5.0,5.0,1.329382,6.0
2025-10-01,11250590,14.0,14.0,1.2291164285714287,17.0
2025-10-01,11250610,14.0,14.0,1.4982721428571428,14.0
2025-10-01,11250630,20.0,20.0,1.2123950000000001,13.0
2025-10-01,11250650,51.0,51.0,1.268965882352941,44.0
2025-10-01,11250660,35.0,35.0,1.0984782857142856,37.0
2025-10-01,11250670,34.0,34.0,1.246644411764706,48.0
2025-10-01,11250700,12.0,12.0,1.4536658333333332,11.0
2025-10-01,11250710,20.0,20.0,1.139024,29.0
2025-10-01,11250720,2.0,2.0,1.312725,4.0
2025-10-01,11250730,14.0,14.0,1.2836007142857144,14.0
2025-10-01,11250740,28.0,28.0,1.2883200000000001,21.0
2025-10-01,11250750,13.0,13.0,1.4373423076923078,27.0
2025-10-01,11250760,10.0,10.0,1.6733740000000001,9.0
2025-10-01,11250770,14.0,14.0,1.4731349999999999,13.0
