prev_zone_id,zone_id,trip_count,device_count,operator_count,avg_distance_m,median_distance_m,avg_speed_kmph,first_timestamp,last_timestamp,origin_latitude,origin_longitude,dest_latitude,dest_longitude
grid_8129_22771,grid_8125_22775,1,1,1,2585.2004486050173,2585.2004486050173,30.414122924764914,2026-06-13T12:30:12+0900,2026-06-13T12:30:12+0900,36.511999,127.227851,36.495496,127.248224
grid_8146_22782,grid_8151_22783,1,1,1,2583.11908675182,2583.11908675182,31.956112413424577,2026-06-12T20:05:04+0900,2026-06-12T20:05:04+0900,36.590848,127.289547,36.613962,127.292442
grid_8127_22774,grid_8123_22777,1,1,1,2581.374065437124,2581.374065437124,30.07426095654901,2026-06-12T18:40:13+0900,2026-06-12T18:40:13+0900,36.5053,127.24286,36.487845,127.261899
grid_8128_22775,grid_8133_22778,1,1,1,2578.3347334560367,2578.3347334560367,30.83722604797918,2026-06-12T16:55:06+0900,2026-06-12T16:55:06+0900,36.511725,127.248482,36.530561,127.265309
grid_8123_22784,grid_8120_22780,1,1,1,2569.5738568689885,2569.5738568689885,30.83488628242786,2026-06-13T14:20:10+0900,2026-06-13T14:20:10+0900,36.48699,127.300067,36.473097,127.277101
grid_8122_22779,grid_8123_22783,1,1,1,2557.076784238695,2557.076784238695,31.2050048246078,2026-06-13T17:20:08+0900,2026-06-13T17:20:08+0900,36.481343,127.269039,36.487358,127.296645
grid_8130_22773,grid_8131_22778,1,1,1,2553.6444799753467,2553.6444799753467,30.44079512553393,2026-06-13T09:55:10+0900,2026-06-13T09:55:10+0900,36.519102,127.239676,36.523379,127.267753
grid_8127_22773,grid_8124_22777,1,1,1,2545.950175824753,2545.950175824753,30.55140210989704,2026-06-12T18:55:05+0900,2026-06-12T18:55:05+0900,36.503205,127.23726,36.489858,127.260402
grid_8124_22776,grid_8129_22775,1,1,1,2545.1256785550063,2545.1256785550063,30.54150814266008,2026-06-13T19:20:06+0900,2026-06-13T19:20:06+0900,36.491299,127.256086,36.513717,127.25034
grid_8122_22785,grid_8120_22780,1,1,1,2541.8562111345827,2541.8562111345827,30.100928816067427,2026-06-13T13:15:10+0900,2026-06-13T13:15:10+0900,36.482748,127.303504,36.47242,127.278142
grid_8126_22782,grid_8124_22777,1,1,1,2536.861413904438,2536.861413904438,29.845428398875743,2026-06-13T20:45:10+0900,2026-06-13T20:45:10+0900,36.500185,127.286342,36.491616,127.26004
grid_8130_22773,grid_8126_22771,1,1,1,2533.6106359442924,2533.6106359442924,31.56054771418496,2026-06-13T13:35:06+0900,2026-06-13T13:35:06+0900,36.518794,127.239424,36.499065,127.225242
grid_8123_22788,grid_8121_22784,1,1,1,2527.049887263283,2527.049887263283,30.73439052076965,2026-06-13T11:25:10+0900,2026-06-13T11:25:10+0900,36.488998,127.323196,36.480088,127.297193
grid_8133_22778,grid_8128_22778,1,1,1,2507.484811030703,2507.484811030703,29.989851560500103,2026-06-13T09:50:08+0900,2026-06-13T09:50:08+0900,36.533689,127.266048,36.511218,127.263696
grid_8128_22778,grid_8131_22774,1,1,1,2503.8966318830294,2503.8966318830294,30.97604080680037,2026-06-13T11:55:04+0900,2026-06-13T11:55:04+0900,36.507431,127.264284,36.524346,127.245789
grid_8147_22782,grid_8152_22782,1,1,1,2498.5692950771486,2498.5692950771486,30.08310856949075,2026-06-13T23:20:08+0900,2026-06-13T23:20:08+0900,36.594186,127.287018,36.616656,127.286908
grid_8128_22778,grid_8123_22777,1,1,1,2487.804495657589,2487.804495657589,29.558073215733728,2026-06-13T01:45:09+0900,2026-06-13T01:45:09+0900,36.510316,127.264377,36.487971,127.262976
grid_8125_22774,grid_8121_22777,1,1,1,2483.996216296911,2483.996216296911,28.29869107173696,2026-06-13T15:00:25+0900,2026-06-13T15:00:25+0900,36.495999,127.243401,36.479335,127.261906
grid_8125_22776,grid_8130_22775,1,1,1,2473.9399437839284,2473.9399437839284,29.687279325407143,2026-06-13T23:55:04+0900,2026-06-13T23:55:04+0900,36.494575,127.256324,36.516488,127.251534
grid_8131_22772,grid_8130_22777,1,1,1,2465.5916037831166,2465.5916037831166,28.81860316110136,2026-06-13T15:40:12+0900,2026-06-13T15:40:12+0900,36.522605,127.232297,36.516379,127.258778
grid_8128_22777,grid_8132_22778,1,1,1,2465.345911505516,2465.345911505516,28.446298978909795,2026-06-12T22:00:16+0900,2026-06-12T22:00:16+0900,36.507468,127.262012,36.529366,127.266331
grid_8128_22778,grid_8128_22773,1,1,1,2459.1345081898107,2459.1345081898107,27.75198818019849,2026-06-13T07:00:28+0900,2026-06-13T07:00:28+0900,36.510031,127.267299,36.510669,127.239795
grid_8150_22783,grid_8146_22782,1,1,1,2458.944025249427,2458.944025249427,29.311915532774623,2026-06-13T20:10:08+0900,2026-06-13T20:10:08+0900,36.6105,127.293138,36.588481,127.29059
grid_8121_22782,grid_8121_22777,1,1,1,2450.567756350837,2450.567756350837,30.526103539318395,2026-06-13T04:35:05+0900,2026-06-13T04:35:05+0900,36.479008,127.290175,36.479242,127.262768
grid_8129_22776,grid_8124_22775,1,1,1,2450.428194382718,2450.428194382718,28.548677992808365,2026-06-13T18:30:15+0900,2026-06-13T18:30:15+0900,36.514793,127.257452,36.493479,127.250486
grid_8153_22781,grid_8148_22783,1,1,1,2448.414690881501,2448.414690881501,29.878958939570865,2026-06-13T14:30:09+0900,2026-06-13T14:30:09+0900,36.621208,127.283181,36.601285,127.294862
grid_8125_22773,grid_8122_22777,1,1,1,2444.24666315847,2444.24666315847,29.72732428165706,2026-06-13T10:55:03+0900,2026-06-13T10:55:03+0900,36.497954,127.240722,36.482186,127.259772
grid_8119_22775,grid_8124_22776,1,1,1,2443.654332348147,2443.654332348147,29.52065636393734,2026-06-13T18:05:11+0900,2026-06-13T18:05:11+0900,36.470324,127.251594,36.492065,127.255583
grid_8151_22781,grid_8148_22784,1,1,1,2441.108731149209,2441.108731149209,29.8911273201944,2026-06-13T00:35:07+0900,2026-06-13T00:35:07+0900,36.614919,127.284926,36.597612,127.301751
grid_8127_22777,grid_8122_22775,1,1,1,2434.860414354566,2434.860414354566,28.552109093408596,2026-06-12T17:25:13+0900,2026-06-12T17:25:13+0900,36.505255,127.259538,36.484216,127.251987
grid_8130_22775,grid_8127_22779,1,1,1,2428.0274749891137,2428.0274749891137,28.847851187989463,2026-06-12T17:40:14+0900,2026-06-12T17:40:14+0900,36.519424,127.252055,36.505045,127.272501
grid_8120_22781,grid_8120_22776,1,1,1,2426.174038316077,2426.174038316077,30.754318795555903,2026-06-13T09:35:05+0900,2026-06-13T09:35:05+0900,36.475081,127.28125,36.474653,127.254121
grid_8127_22777,grid_8122_22777,1,1,1,2426.0405995028304,2426.0405995028304,29.20985337194043,2026-06-13T23:45:04+0900,2026-06-13T23:45:04+0900,36.504275,127.261533,36.482519,127.25949
grid_8124_22779,grid_8120_22780,1,1,1,2421.310030462855,2421.310030462855,28.11843906343961,2026-06-13T20:30:14+0900,2026-06-13T20:30:14+0900,36.492593,127.269527,36.472274,127.279265
grid_8128_22774,grid_8125_22777,1,1,1,2418.9996984238246,2418.9996984238246,28.931557854902884,2026-06-13T06:30:10+0900,2026-06-13T06:30:10+0900,36.510855,127.242403,36.49674,127.262997
grid_8129_22777,grid_8125_22774,1,1,1,2401.4050826548955,2401.4050826548955,28.816860991858743,2026-06-13T22:15:06+0900,2026-06-13T22:15:06+0900,36.512271,127.258878,36.49602,127.241183
grid_8125_22774,grid_8124_22779,1,1,1,2400.2165286080067,2400.2165286080067,30.641062067336254,2026-06-13T07:05:10+0900,2026-06-13T07:05:10+0900,36.496062,127.24323,36.491733,127.269535
grid_8129_22774,grid_8124_22775,1,1,1,2387.8068116696368,2387.8068116696368,28.65368174003564,2026-06-12T22:45:09+0900,2026-06-12T22:45:09+0900,36.512079,127.242519,36.491412,127.249774
grid_8126_22773,grid_8123_22776,1,1,1,2386.836145256657,2386.836145256657,28.358449250574143,2026-06-13T12:15:10+0900,2026-06-13T12:15:10+0900,36.500059,127.23561,36.487778,127.257509
grid_8123_22775,grid_8127_22777,1,1,1,2384.609552894135,2384.609552894135,32.39469581290146,2026-06-13T12:05:05+0900,2026-06-13T12:05:05+0900,36.485039,127.248494,36.504038,127.260867
grid_8125_22776,grid_8127_22772,1,1,1,2381.6665382001142,2381.6665382001142,28.485048297410007,2026-06-13T08:30:06+0900,2026-06-13T08:30:06+0900,36.495073,127.256725,36.505851,127.233699
grid_8124_22777,grid_8128_22775,1,1,1,2363.757259345308,2363.757259345308,28.084244665488807,2026-06-12T22:30:07+0900,2026-06-12T22:30:07+0900,36.489915,127.259286,36.509716,127.249665
grid_8126_22777,grid_8127_22772,1,1,1,2363.248873290518,2363.248873290518,29.851564715248653,2026-06-13T17:05:06+0900,2026-06-13T17:05:06+0900,36.501149,127.259494,36.505493,127.233612
grid_8121_22782,grid_8125_22778,1,1,1,2350.8688962710758,2350.8688962710758,27.12541034158933,2026-06-12T22:00:16+0900,2026-06-12T22:00:16+0900,36.480368,127.287718,36.494104,127.267728
